movieId,title,genres,rating
s1000,Lotte World Tower & Mall,Shopping|Shopping Mall|Points of interest,4.4
s1001,Dongdaemun Design Plaza (DDP),Architecture|Points of interest,4.3
s1002,Olympic Park,Nature|Park|Sports Complex,4.5
s1003,National Museum of Korea,History|Museum,4.7
s1004,Gyeongbokgung Palace,History|Museum|Historic site,4.6
s1005,Bukchon Hanok Village,Architecture|Neighborhood|Points of interest,4.4
s1006,Starfield Library ,Shopping|Library|Points of interest,4.6
s1007,Kakao Friends Hongdae Flagship Store,Shopping|Store,4.3
s1008,Starfield COEX Mall,Shopping|Shopping Mall,4.3
s1009,N Seoul Tower,Architecture|Points of interest,4.5
s1010,Deoksugung,History|Architecture,4.6
s1011,Haebangchon,Neighborhood|Points of interest,4.3
s1012,The Hyundai Seoul,Shopping|Shopping Mall,4.4
s1013,Gwanghwamun Square,History|Points of interest,4.4
s1014,Mecenatpolis Mall,Shopping|Shopping Mall,4.1
s1015,Myeongdong Shopping Street,Shopping|Shopping Street,4.2
s1016,Sungnyemun Gate,History|Points of interest,4.5
s1017,Bank of Korea Museum,History|Museum,4.5
s1018,Cheonggyecheon Stream,Nature|Park|Points of interest|History,4.5
s1019,Bukhansan National Park,Nature|Park|Points of interest,4.6
s1020,The War Memorial of Korea,History|Museum|Points of interest,4.6
s1021,Namsangol Hanok Village,History|Points of interest,4.3
s1022,Namsan Park,Nature|Park,4.5
s1023,Bongeunsa Temple,History|Religion,4.5
s1024,Myeongdong NANTA Theater,Theater,4.5
s1025,Dongdaemun Shopping Complex,Shopping|Shopping Mall,4.2
s1026!,Times Square Mall,Shopping|Shopping Mall,4.5
s1027,Hallyu K-Star Road,Street|Points of interest|Kpop,4.1
s1028,Itaewon,Neighborhood|Points of interest,4
s1029,Sigonggan,Shopping|Store|Accessories Store,4.4
s1030,Hangang Park,Park|Nature,4.6
s1031,HiKR Ground,Museum|Points of interest,4.4
s1032,Ssamzigil,Shopping|Shopping Mall|Gift Shop|Street Market,4.4
s1033,Seoul Forest Park,Park|Nature,4.6
s1034,Namsan Cable Car,Cable car,4.2
s1035,Zoolung Zoolung,Zoo,4.4
